Location;Year;New Cases;New Deaths;New Recovered;New Active Cases;Total Cases;Total Deaths;Total Recovered;Total Active Cases;tourist;Jumlah Penduduk;GDP 
Jawa Timur;2021;315655;23346;295187;-2878;91076536;6648835;81556140;2871561;126676862;408788;5664082
Jawa Timur;2022;201480;2019;198644;817;140500018;8038701;131515397;945920;158616085;411500;6004866
Kalimantan Barat;2017;0;0;0;0;0;0;0;0;2996380;4106.8;3598453
Kalimantan Barat;2018;0;0;0;0;0;0;0;0;3257024;49851;3881473
Kalimantan Barat;2019;0;0;0;0;0;0;0;0;10916751;50457;4204541
Kalimantan Barat;2020;3118;25;2741;352;254530;2533;206756;45241;3138799;54144;4616133
Kalimantan Barat;2021;38553;1036;37858;-341;7810577;177707;7276216;356654;2271124;54708;422829
Kalimantan Barat;2022;23934;69;23770;95;15338235;286984;14838131;213120;1755287;55414;3962224
Kalimantan Selatan;2017;0;0;0;0;0;0;0;0;4300487;41068;3861954
Kalimantan Selatan;2018;0;0;0;0;0;0;0;0;4520927;41624;4104628
Kalimantan Selatan;2019;0;0;0;0;0;0;0;0;14600304;42163;4282356
Kalimantan Selatan;2020;15303;584;13800;919;1892929;80701;1483614;328614;4399364;40736;4410079
Kalimantan Selatan;2021;54651;1807;53753;-909;16414704;529548;15096050;789106;5716978;41226;6007932
Kalimantan Selatan;2022;17522;192;17187;143;21177615;647103;20318930;211582;4506915;41821;4799887
Kalimantan Tengah;2017;0;0;0;0;0;0;0;0;2398510;25748;4829322
Kalimantan Tengah;2018;0;0;0;0;0;0;0;0;2745542;26126;5210723
Kalimantan Tengah;2019;0;0;0;0;0;0;0;0;7249983;26498;5662538
Kalimantan Tengah;2020;9740;198;6448;3094;757009;26411;547215;183383;1727916;26700;6278447
Kalimantan Tengah;2021;35920;1233;37709;-3022;10803971;295468;9629723;878780;2438971;27022;7294507
Kalimantan Tengah;2022;12557;132;12277;148;13946295;389824;13407955;148516;1451039;27411;5714508
Kalimantan Timur;2017;0;0;0;0;0;0;0;0;3205261;35271;16554662
Kalimantan Timur;2018;0;0;0;0;0;0;0;0;2613107;35738;17416482
Kalimantan Timur;2019;0;0;0;0;0;0;0;0;15665704;36197;18025910
Kalimantan Timur;2020;27076;743;22805;3528;1902113;60880;1495812;345421;5266467;37660;23870072
Kalimantan Timur;2021;131256;4709;130052;-3505;37046757;1127040;34220766;1698951;2365615;38082;18291531
Kalimantan Timur;2022;50685;274;50162;249;50633605;1456888;48676665;500052;2291348;38598;16179885
